id,url,date,content,replyCount,retweetCount,likeCount,quoteCount
1494791763428618250,https://twitter.com/WhiteHouse/status/1494791763428618250,2022-02-18 21:51:42+00:00,Happening Now: President Biden gives an update on our continued efforts to pursue deterrence and diplomacy – and an update on Russia’s buildup of military troops on the border of Ukraine. https://t.co/RcTbQbzheu,662,572,1961,60
1498426298888118276,https://twitter.com/OccupyDemocrats/status/1498426298888118276,2022-02-28 22:34:03+00:00,"BREAKING: Ukraine's Ambassador to the U.S. reveals that Russia dropped a thermobaric bomb, also known as a ""vacuum bomb"" and the ""Father of All Bombs,"" on Ukraine — a horrific weapon that eats through the oxygen in its blast radius. RT IF YOU STAND WITH UKRAINE!",660,6652,11836,467
1499140409213259785,https://twitter.com/jeremycorbyn/status/1499140409213259785,2022-03-02 21:51:40+00:00,"When the troops have gone, the bitterness stays and the refugees are still displaced. 

The poor pay for the rich’s game — be of strength and determination in standing for peace for the people of Ukraine and Russia. https://t.co/rzM5cBDPKU",660,2619,10943,278
1498527214245191683,https://twitter.com/CNN/status/1498527214245191683,2022-03-01 05:15:03+00:00,"As the Russian invasion of Ukraine continues, foreign students attempting to leave the country say they are experiencing racist treatment by Ukrainian security forces and border officials. https://t.co/HsC4L1dQ7b",658,978,2784,154
1494816636343402505,https://twitter.com/JBWolfsthal/status/1494816636343402505,2022-02-18 23:30:33+00:00,"I think most people don’t realize

If Putin invades Ukraine, everything changes. For Europe. For America. For NATO. And for Russia.",654,3214,19650,175
1496262551453192196,https://twitter.com/MSNBC/status/1496262551453192196,2022-02-22 23:16:06+00:00,".@MaddowBlog: Why didn’t Russia invade Ukraine during Trump’s term? Perhaps because Putin was so pleased to see Trump pursuing goals in line with Moscow’s agenda.
https://t.co/LeAtNSVLOE",652,313,1179,47
1498038292108955650,https://twitter.com/Ukraine/status/1498038292108955650,2022-02-27 20:52:15+00:00,Multinational corporations divert and stop their investments in Russia. Join the growing list of companies who said NO to funding military aggression #StandWithUkraine https://t.co/cxCoMJPKLj,645,5062,33434,240
1494353006980222977,https://twitter.com/DonaldJTrumpJr/status/1494353006980222977,2022-02-17 16:48:15+00:00,😬😬😬 good thing Democrats are at least focused on Ukraine’s border. #americalast https://t.co/Y81WmJ3WWm,642,801,2842,35
1499397964862660622,https://twitter.com/nytimes/status/1499397964862660622,2022-03-03 14:55:06+00:00,"President Volodymyr Zelensky of Ukraine portrayed invading Russian troops as directionless, even as Russia captured the city of Kherson.

""They don't know why they are here,"" he said of Russian soldiers. https://t.co/ciNzaBZRMY https://t.co/U3dtxkZ6iu",633,4132,16810,352
1485569942023983109,https://twitter.com/MatasMaldeikis/status/1485569942023983109,2022-01-24 11:07:29+00:00,"BREAKING: I demand the immediate withdrawl of Russian troops from the historical sphere of influence of the Grand Duchy of Lithuania, including #Belarus and #Ukraine. Russia's westward expansion since the annexation of Novgorod in 1478 is an outrageous provocation. @RussiaMfa https://t.co/tHUOqLb2WP",620,4076,19286,865
1494058757524967430,https://twitter.com/GermanAmbUSA/status/1494058757524967430,2022-02-16 21:19:00+00:00,"Ukraine has the sovereign right to seek NATO membership, to choose its course.

We will not guarantee otherwise to Russia.",618,3291,20891,268
1499404354012463108,https://twitter.com/NBCNews/status/1499404354012463108,2022-03-03 15:20:30+00:00,"RUSSIAN INVASION OF UKRAINE LATEST: https://t.co/IUamKAcmca

• 1,000,000+ flee Ukraine

• Kherson mayor says Russian troops have ""captured"" city

• Russian convoy near Kyiv makes ""little discernible progress""

• Kharkiv continues to face heavy shelling https://t.co/jqmorISQjS",613,2224,5716,285
1493862768818151425,https://twitter.com/MuradGazdiev/status/1493862768818151425,2022-02-16 08:20:13+00:00,"The Russian Foreign Ministry has called on Western media outlets to publish a full list of dates on which Russia will invade Ukraine for the year ahead, so Russian diplomats can schedule their vacations accordingly.

This is not satire. They did this",608,8581,31810,1393
1499961675847540742,https://twitter.com/MSNBC/status/1499961675847540742,2022-03-05 04:15:06+00:00,".@MaddowBlog: Why didn’t Russia invade Ukraine during Trump’s term? Perhaps because Putin was so pleased to see Trump pursuing goals in line with Moscow’s agenda.
https://t.co/WCWFrJFwbV",603,362,1242,74
1498083697966391308,https://twitter.com/GeorgePapa19/status/1498083697966391308,2022-02-27 23:52:41+00:00,Biden said no US troops to Ukraine. Now Europe is sending Ukraine fighter jets. Who is supposedly flying these advanced jets that would take months for Ukrainian pilots to learn how to fly?,598,1236,5734,91
1500195497629397000,https://twitter.com/Ukraine/status/1500195497629397000,2022-03-05 19:44:13+00:00,"Kherson, Nova Kakhovka, Berdyansk, Enerhodar, Konotop, Melitopol and many other Ukrainian cities and towns stood up to the Russian invaders.

You can help courageous Ukrainians by boycotting Russian goods and companies.

#BoycottRussia #StandWithUkraine https://t.co/Hzgh3kZYXd",597,4575,17939,227
1494720232186957824,https://twitter.com/GOPChairwoman/status/1494720232186957824,2022-02-18 17:07:28+00:00,"The logic of the Biden administration…
 
Send Harris to Europe to secure Ukraine’s border, but don’t send her to the southern border to secure ours.",597,854,3420,71
1493305167940313088,https://twitter.com/GBNEWS/status/1493305167940313088,2022-02-14 19:24:30+00:00,"‘I’ve thought for 30 years that the Nato policy of expanding ever eastwards was a huge strategic error’ 

@Nigel_Farage discusses the tensions between Russia and Ukraine after Liz Truss said Russia could invade ‘almost immediately’ 

📺 Freeview 236, Sky 515, Virgin 626 
📻 DAB+ https://t.co/nHt5gNyEri",597,94,230,228
1496460795659669510,https://twitter.com/MeghanMcCain/status/1496460795659669510,2022-02-23 12:23:51+00:00,"He was in Ukraine in 2014 speaking and protesting alongside anti-Russia protestors. This was one of the issues closest to his heart. 

We stand with freedom and democracy. We stand firmly against murderous KGB dictatorships.

We stand with Ukraine yesterday, today and always. 🇺🇦 https://t.co/kutl7zHFgs",595,740,7101,79
1492228311380115459,https://twitter.com/PhilipWegmann/status/1492228311380115459,2022-02-11 20:05:28+00:00,"President Biden took selfies and shook hands with staff ahead of his departure to Camp David. 

Half an hour ago, @JakeSullivan46 told us Russia could invade Ukraine in 24-48 hours. 

Biden did not take questions. https://t.co/nPSGTtGmbd",595,882,2096,203
1493294139961745418,https://twitter.com/GBNEWS/status/1493294139961745418,2022-02-14 18:40:41+00:00,"‘A Barbie doll who’s a Foreign Secretary’

Political Commentator Jo Phillips discusses Liz Truss’ handling of the Ukraine and Russian tensions as war could be imminent.    

📺 Freeview 236, Sky 515, Virgin 626 
📻 DAB+ https://t.co/6CU1GiTDoR",594,68,204,131
1492233488342429710,https://twitter.com/mchooyah/status/1492233488342429710,2022-02-11 20:26:02+00:00,Russia is not going to invade Ukraine. As much as our dear generals who work as contractors would like them to.,593,1738,12438,122
1496088896446287874,https://twitter.com/trussliz/status/1496088896446287874,2022-02-22 11:46:03+00:00,"The safety and security of British nationals in Ukraine is our top priority. All Brits should leave now via commercial routes while they are still available. 

We are bolstering our teams in the region to support British people as they leave and once they have crossed the border.",593,329,1495,69
1496761773684555777,https://twitter.com/nytimes/status/1496761773684555777,2022-02-24 08:19:49+00:00,"These are some of the first images of Russian troops entering Ukraine, verified by The New York Times. 

Footage captured by security cameras at a border crossing on Thursday morning shows Russian military vehicles entering from Crimea. https://t.co/iAaop3QWru https://t.co/U9gt81z6GR",589,4079,15018,348
1496508159107768323,https://twitter.com/MSNBC/status/1496508159107768323,2022-02-23 15:32:03+00:00,Former President Trump called Russian President Putin’s decision to send troops into parts of Ukraine as “smart” and “savvy.” https://t.co/sAOEWmWsOA,589,104,201,76
1498001595572891657,https://twitter.com/TomiLahren/status/1498001595572891657,2022-02-27 18:26:26+00:00,"The Durham report, supply chain crisis, hidden COVID data, plus crime, inflation, and our illegal immigrant border invasion ALL surging here in the USA but yet the news coverage is 24/7 
Ukraine/Russia. How convenient for the Left.",588,1298,5688,65
1498775831279128576,https://twitter.com/OccupyDemocrats/status/1498775831279128576,2022-03-01 21:42:58+00:00,BREAKING: The Pentagon announces that some Russian troops are deliberately damaging the fuel tanks of their own vehicles in order to avoid heading into combat. RT IF YOU THINK EVERY RUSSIAN SOLDIER SHOULD HEAD HOME!,584,11431,41039,319
1500160897129631747,https://twitter.com/Sen_JoeManchin/status/1500160897129631747,2022-03-05 17:26:44+00:00,I questioned @ZelenskyyUa about the need for the US to ban Russian energy imports and he wholeheartedly agreed. We must ensure the full commitment of the US govt is behind the Ukrainian people and prevent Putin from gaining control of Ukraine. #BanRussianImports #StandWithUkraine https://t.co/YmbInxHvn0,583,135,880,111
1497960920131141634,https://twitter.com/davidaxelrod/status/1497960920131141634,2022-02-27 15:44:48+00:00,"Trump called Putin's decision to invade Ukraine ""genius,"" which was as revealing and it was wrong.
This brutal invasion has been a historic blunder for Russia, and Trump's comments may be a historic blunder for him.",580,1387,9410,108
1495496632342884356,https://twitter.com/catturd2/status/1495496632342884356,2022-02-20 20:32:36+00:00,"Breaking …

Joe Biden has predicted Russia will invade Ukraine between today and March 6th, 2078 … or the next time Venus aligns with Uranus.",579,2334,14365,134
1495509625713610755,https://twitter.com/GOPChairwoman/status/1495509625713610755,2022-02-20 21:24:14+00:00,"Biden is VP: Putin annexes Crimea.
 
Trump is President: No more escalation.
 
Biden is President: Putin amasses forces on Ukraine’s border.
 
https://t.co/61QTl7rmJ9",579,306,1027,37
1499453251305025539,https://twitter.com/mrsorokaa/status/1499453251305025539,2022-03-03 18:34:48+00:00,"⚡️Russia agrees to provide a humanitarian corridor to evacuate those injured and to deliver food and medicine to civilians shelled by their troops.

Ukraine must be careful with this, the last time Russia allowed a humanitarian corridor, it was in August 2014 in Ilovaisk.",577,5695,26327,244
1492238096959692802,https://twitter.com/cryptomanran/status/1492238096959692802,2022-02-11 20:44:21+00:00,"BREAKING: BIDEN WARNS PUTIN , ALL TROOPS THAT ENTER UKRAINE MUST WEAR MASKS.",576,488,5153,74
1499882385331998721,https://twitter.com/Reuters/status/1499882385331998721,2022-03-04 23:00:01+00:00,"NATO rejects Ukraine's demand for No-fly zones, saying it is 'not part of this' war https://t.co/HhPKJoKDLJ https://t.co/e4lW1A1R0W",576,497,1247,187
1492877375377489927,https://twitter.com/andreamoignard/status/1492877375377489927,2022-02-13 15:04:37+00:00,"A Conservative Government is much better in a crisis than Labour ever could be. 
With tensions rising on the Ukraine border, we should all be grateful Labour are not at the helm.",571,358,2553,55
1498346555568541696,https://twitter.com/nypost/status/1498346555568541696,2022-02-28 17:17:11+00:00,Billionaire investor Bill Ackman says US troops must defend Ukraine from Russia https://t.co/w9VYYyIPyZ https://t.co/KXJn4brSmV,571,95,529,102
1499530816384159755,https://twitter.com/aplusk/status/1499530816384159755,2022-03-03 23:43:01+00:00,"Standing with Ukraine means supporting Ukrainians. #StandWithUkraine (1/2) 
https://t.co/gsuHfKDU9e",569,1165,5529,134
1497302769866182657,https://twitter.com/realDailyWire/status/1497302769866182657,2022-02-25 20:09:33+00:00,"Biden Turned Over Intelligence To China On Russia’s Plans To Invade Ukraine, China Gave It To Russia, Report Says https://t.co/gf5TrL94kq https://t.co/NdvTL0ZJ7u",568,1244,3936,273
